Original,TranslationFormula
모루인형만들기! 아직도 모루니?!,"=GOOGLETRANSLATE(A2, ""ko"", ""en"")"
경상북도 · 경산시 · 진량읍,"=GOOGLETRANSLATE(A3, ""ko"", ""en"")"
경상북도 경산시 진량읍,"=GOOGLETRANSLATE(A4, ""ko"", ""en"")"
요술풍선 꽃다발 취미클래스,"=GOOGLETRANSLATE(A5, ""ko"", ""en"")"
층 빛나는오늘,"=GOOGLETRANSLATE(A6, ""ko"", ""en"")"
경기도 고양시 덕양구 도내동 1051-4 도래울안길 33-1 1층 빛나는오늘,"=GOOGLETRANSLATE(A7, ""ko"", ""en"")"
오운완 테라피 향수 클래스! 나의 의지를 높여줄 아이템을 만들어 보세요!,"=GOOGLETRANSLATE(A8, ""ko"", ""en"")"
서울특별시 동대문구 장안동 380-3 1층 에꼴드아로마티크,"=GOOGLETRANSLATE(A9, ""ko"", ""en"")"
서울 동대문구 한천로24길 74-16,"=GOOGLETRANSLATE(A10, ""ko"", ""en"")"
"35,100원","=GOOGLETRANSLATE(A11, ""ko"", ""en"")"
위린이를 위한 온더락 위스키 클래스,"=GOOGLETRANSLATE(A12, ""ko"", ""en"")"
"79,210원","=GOOGLETRANSLATE(A13, ""ko"", ""en"")"
Dia Vocal Class,"=GOOGLETRANSLATE(A14, ""ko"", ""en"")"
서울 · 서대문구 · 연세로,"=GOOGLETRANSLATE(A15, ""ko"", ""en"")"
서울 서대문구 연세로,"=GOOGLETRANSLATE(A16, ""ko"", ""en"")"
"2,500원","=GOOGLETRANSLATE(A17, ""ko"", ""en"")"
힙치로 MZ 탱고 댄스 동호회 학원 _ tango 살사 스윙댄스 스포츠 댄스 스포츠 학원,"=GOOGLETRANSLATE(A18, ""ko"", ""en"")"
서울 · 중구 · 충무로4가,"=GOOGLETRANSLATE(A19, ""ko"", ""en"")"
서울 중구 충무로4가,"=GOOGLETRANSLATE(A20, ""ko"", ""en"")"
나만의 취향과 이야기를 담은 블렌딩티 만들기,"=GOOGLETRANSLATE(A21, ""ko"", ""en"")"
왁스타블렛 + 디퓨져 원데이클래스 나만의 방향제 만들기,"=GOOGLETRANSLATE(A22, ""ko"", ""en"")"
주말을 여는 빈야사 요가원데이class,"=GOOGLETRANSLATE(A23, ""ko"", ""en"")"
