Original,TranslationFormula
헤이리 커피박물관,"=GOOGLETRANSLATE(A2, ""ko"", ""ja"")"
경기도 파주시 탄현면 헤이리마을길 23,"=GOOGLETRANSLATE(A3, ""ko"", ""ja"")"
"커피박물관에는 전 세계에서 수집한 1,600년대부터 최근까지 5세기에 걸쳐 인류가 사용하여 왔던 커피 유물들이 전시되어 있다. 특히, 전 세계에서 하나뿐인 커피 유물과 다른 나라 커피박물관으로부터 불하받은 오래되고, 귀중한 전시물들을 직접 볼 수 있는 역사적 자료 박물관이다. 커피박물관은 1층은 카페로, 2층과 3층에 커피박물관으로 구성되어 있다. 2층에서는 커피의 역사, 커피가 만들어지는 과정, 에스프레소 머신이 어떻게 변화하였는지를 살펴볼 수 있으며 3층에서는 원산지별로 커피의 특징을 알아볼 수 있는 공간도 구경해볼 수 있다. 별도의 커피연구소와 커피 재배 하우스에서 자라고 있는 다양한 커피나무도 볼 수 있다. 박물관 관람 외에도 생두를 직접 볶아보는 로스팅 체험, 머신에서 뽑는 커피가 아닌 수작업으로 만들어지는 핸드드립 체험을 할 수 있다.","=GOOGLETRANSLATE(A4, ""ko"", ""ja"")"
070-4176-1212,"=GOOGLETRANSLATE(A5, ""ko"", ""ja"")"
활판공방,"=GOOGLETRANSLATE(A6, ""ko"", ""ja"")"
경기도 파주시 문발로 203,"=GOOGLETRANSLATE(A7, ""ko"", ""ja"")"
"활판공방은 국내에서는 유일하게도 납 활자 인쇄 공정으로 책을 찍어내는 인쇄소 겸 출판사이다. 납으로 자모(字母)를 일일이 만드는 주조(鑄造)부터 시작해 약 60만 자가 빼곡히 들어찬 활자 선반에서 자모를 골라내는 채자(採字) 및 자모를 배열하는 식자(植字・조판)와 인쇄・접지・제본에 이르기까지 활판 인쇄의 전 과정이 한 공간에서 거의 모두 수작업으로 이뤄지고 있다.&nbsp;입구부터 클래식한 분위기를 띄며 활판인쇄한 그림과 글이 진열되어 있고 정면에는 서적들이 빼곡히 꽂혀있다. 이는 모두 활판으로 인쇄한 서적이라고 한다. 이외에도 활판인쇄 시 사용하던 기계들이 전시되어 있다. 또한, 사람들이 활판인쇄 문화를 쉽게 접할 수 있게 별도로 북앤프레스라는 카페를 운영하고 있으며, 공방내에서는 체험프로그램도 진행하고 있다.","=GOOGLETRANSLATE(A8, ""ko"", ""ja"")"
031-955-0084,"=GOOGLETRANSLATE(A9, ""ko"", ""ja"")"
선바위미술관,"=GOOGLETRANSLATE(A10, ""ko"", ""ja"")"
과천 선바위미술관,"=GOOGLETRANSLATE(A11, ""ko"", ""ja"")"
경기도 과천시 무네미길 34,"=GOOGLETRANSLATE(A12, ""ko"", ""ja"")"
"서울과 경기도를 잇는 과천의 수려하고 쾌적한 환경 속에 자리 잡은 선바위미술관은 풍속화가 이서지 화백이 사라져가는 전통 풍속을 되살리고 기록, 보존하여 후손들에게 널리 알리고자 하는 취지 아래 2004년 설립한 풍속미술관이다. 약780여 평의 부지와 22평의 전시면적에 옛 조상들의 생활상과 풍습, 자연풍경을 평생에 걸쳐 그려온 고 이서지 화백의 풍속화 1,000여 점과 옛 선조들의 모습을 해학적으로 만들어 온 전통인형 작가 김시온 선생의 전통인형 및 마을 축소 모형을 소장〮전시하고 있다.","=GOOGLETRANSLATE(A13, ""ko"", ""ja"")"
"성인 : 개인 4,000원 / 단체 3,000원 청소년 : 개인 3,000원 / 단체 2,000원 어린이 : 개인 2,000원 / 단체 1,500원 3세 이하 어린이 / 노인 / 장애인 : 무료입장","=GOOGLETRANSLATE(A14, ""ko"", ""ja"")"
02-507-8588,"=GOOGLETRANSLATE(A15, ""ko"", ""ja"")"
영은미술관,"=GOOGLETRANSLATE(A16, ""ko"", ""ja"")"
광주 영은미술관,"=GOOGLETRANSLATE(A17, ""ko"", ""ja"")"
경기도 광주시 청석로 300,"=GOOGLETRANSLATE(A18, ""ko"", ""ja"")"
"경기도 광주시 자연림 속에 위치한 영은미술관은 2000년 11월에 개관한 곳으로, 동시대 현대미술 작품을 연구, 소장, 전시하는 현대미술관(Museum of Contemporary Art)과 창작 스튜디오를 겸비한 복합문화시설이다. 넓은 부지에 미술관동과 레지던시 작가들을 위한 스튜디오와 연구동이 자리 잡고 있다. 2000년에 시작된 레지던시 프로그램은 영은미술관에서 주관하는 창작지원 사업으로 국내외 작가들의 창작활동을 지원하고 있다. 지하 1층과 지상 3층 건물인 미술관동은 3개 전시장과 세미나실, 자료실, 강의실 및 평면 스튜디오를 두루 갖추고 있다. 영은미술관은 기획전과 개인전을 통해 국내외 현대미술의 주요 작가의 작품을 소개하고 미술전문인들뿐 아니라 일반 대중들도 공감하고 이해할 수 있는 전시기획을 통해 현대미술을 보다 친숙하고 가깝게 접할 수 있는 기회를 제공하고 있다. 또, 청소년에서 성인에 이르기까지 다양한 연령층을 대상으로 하는 영은창작스튜디오 투어 프로그램, 미술관 피크닉 등과 같은 체험 프로그램이 준비되어 있다.","=GOOGLETRANSLATE(A19, ""ko"", ""ja"")"
"[미술관 전시관람료] 일반10,000원 / 학생(초.중.고) 7,000원 / 어린이 5,000","=GOOGLETRANSLATE(A20, ""ko"", ""ja"")"
031-761-0137,"=GOOGLETRANSLATE(A21, ""ko"", ""ja"")"
농경유물전시관,"=GOOGLETRANSLATE(A22, ""ko"", ""ja"")"
경기도 파주시 통일로 600,"=GOOGLETRANSLATE(A23, ""ko"", ""ja"")"
