Original,TranslationFormula
VR체험을 통해 나라를 지키는 군인이 되어보는 순간!,"=GOOGLETRANSLATE(A2, ""ko"", ""zh-cn"")"
서울역사박물관 어린이박물관,"=GOOGLETRANSLATE(A3, ""ko"", ""zh-cn"")"
초등학생 자녀와 가기 좋은 신상 어린이박물관,"=GOOGLETRANSLATE(A4, ""ko"", ""zh-cn"")"
신전뮤지엄,"=GOOGLETRANSLATE(A5, ""ko"", ""zh-cn"")"
대구 북구 관음로 43,"=GOOGLETRANSLATE(A6, ""ko"", ""zh-cn"")"
떡볶이를 좋아하는 아이라면 꼭 가야 하는 곳,"=GOOGLETRANSLATE(A7, ""ko"", ""zh-cn"")"
풀짚공예박물관,"=GOOGLETRANSLATE(A8, ""ko"", ""zh-cn"")"
"경기도 광주시 오포읍 문형산길 76(신현리, 초고빌라)","=GOOGLETRANSLATE(A9, ""ko"", ""zh-cn"")"
풀짚공예 작품을 보고 체험까지 할 수 있는 박물관,"=GOOGLETRANSLATE(A10, ""ko"", ""zh-cn"")"
롤링볼뮤지엄,"=GOOGLETRANSLATE(A11, ""ko"", ""zh-cn"")"
경기 용인시 기흥구 신고매로 59,"=GOOGLETRANSLATE(A12, ""ko"", ""zh-cn"")"
구르는 공을 보며 과학적 원리를 배워가는 공 테마 박물관,"=GOOGLETRANSLATE(A13, ""ko"", ""zh-cn"")"
삼도수군통제영역사관,"=GOOGLETRANSLATE(A14, ""ko"", ""zh-cn"")"
경남 통영시 세병로 12,"=GOOGLETRANSLATE(A15, ""ko"", ""zh-cn"")"
조선 수군과 이순신 장군의 발자취 쫓아가기,"=GOOGLETRANSLATE(A16, ""ko"", ""zh-cn"")"
한과문화박물관,"=GOOGLETRANSLATE(A17, ""ko"", ""zh-cn"")"
경기도 포천시 영북면 산정호수로322번길 26-9,"=GOOGLETRANSLATE(A18, ""ko"", ""zh-cn"")"
"한과에 대해 배우고, 전통문화도 체험하는 유익한 시간","=GOOGLETRANSLATE(A19, ""ko"", ""zh-cn"")"
국립춘천박물관 어린이박물관,"=GOOGLETRANSLATE(A20, ""ko"", ""zh-cn"")"
아이와 함께 놀고 배우는 즐거운 공간,"=GOOGLETRANSLATE(A21, ""ko"", ""zh-cn"")"
충주커피박물관,"=GOOGLETRANSLATE(A22, ""ko"", ""zh-cn"")"
충북 충주시 살미면 월악로 432 충주커피박물관,"=GOOGLETRANSLATE(A23, ""ko"", ""zh-cn"")"
커피와 자연의 정취를 함께 느낄 수 있는 공간,"=GOOGLETRANSLATE(A24, ""ko"", ""zh-cn"")"
대구교육박물관,"=GOOGLETRANSLATE(A25, ""ko"", ""zh-cn"")"
대구광역시 북구 대동로1길 40,"=GOOGLETRANSLATE(A26, ""ko"", ""zh-cn"")"
교육을 주제로 체험활동을 할 수 있는 곳,"=GOOGLETRANSLATE(A27, ""ko"", ""zh-cn"")"
국립중앙박물관 어린이박물관,"=GOOGLETRANSLATE(A28, ""ko"", ""zh-cn"")"
어린이를 위한 어린이에 의한 박물관,"=GOOGLETRANSLATE(A29, ""ko"", ""zh-cn"")"
낙동강역사이야기관,"=GOOGLETRANSLATE(A30, ""ko"", ""zh-cn"")"
경북 상주시 낙동면 낙동1길 116,"=GOOGLETRANSLATE(A31, ""ko"", ""zh-cn"")"
희귀한 화석도 보고 직접 체험도 하는 역사박물관,"=GOOGLETRANSLATE(A32, ""ko"", ""zh-cn"")"
경산시립박물관,"=GOOGLETRANSLATE(A33, ""ko"", ""zh-cn"")"
다양한 체험을 하며 즐겁게 배워요,"=GOOGLETRANSLATE(A34, ""ko"", ""zh-cn"")"
국립경주박물관,"=GOOGLETRANSLATE(A35, ""ko"", ""zh-cn"")"
신라 천년 수도 경주의 모든 역사를 한 눈에,"=GOOGLETRANSLATE(A36, ""ko"", ""zh-cn"")"
의정부천문대,"=GOOGLETRANSLATE(A37, ""ko"", ""zh-cn"")"
경기 의정부시 부용로214번길 51-81,"=GOOGLETRANSLATE(A38, ""ko"", ""zh-cn"")"
무료 야간 관측이 가능한 천문대,"=GOOGLETRANSLATE(A39, ""ko"", ""zh-cn"")"
양주시립회암사지박물관,"=GOOGLETRANSLATE(A40, ""ko"", ""zh-cn"")"
경기도 양주시 회암사길 11,"=GOOGLETRANSLATE(A41, ""ko"", ""zh-cn"")"
박물관 들렀다가 유아숲 체험원도 가요,"=GOOGLETRANSLATE(A42, ""ko"", ""zh-cn"")"
크라운해태 키즈뮤지엄,"=GOOGLETRANSLATE(A43, ""ko"", ""zh-cn"")"
서울 용산구 한강대로72길 3 크라운해태제과 지하1층,"=GOOGLETRANSLATE(A44, ""ko"", ""zh-cn"")"
4-8세 아이의 상상력을 키우는 체험 공간,"=GOOGLETRANSLATE(A45, ""ko"", ""zh-cn"")"
화성시어린이문화센터,"=GOOGLETRANSLATE(A46, ""ko"", ""zh-cn"")"
경기 화성시 봉담읍 동화길 146,"=GOOGLETRANSLATE(A47, ""ko"", ""zh-cn"")"
5-10세 아이 직업체험 장소를 찾는다면,"=GOOGLETRANSLATE(A48, ""ko"", ""zh-cn"")"
국립청주박물관 어린이박물관,"=GOOGLETRANSLATE(A49, ""ko"", ""zh-cn"")"
충청북도 청주시 상당구 명암로 143,"=GOOGLETRANSLATE(A50, ""ko"", ""zh-cn"")"
무료체험이 가득한 어린이 박물관,"=GOOGLETRANSLATE(A51, ""ko"", ""zh-cn"")"
세계민속악기박물관,"=GOOGLETRANSLATE(A52, ""ko"", ""zh-cn"")"
경기도 파주시 탄현면 헤이리마을길 63-26,"=GOOGLETRANSLATE(A53, ""ko"", ""zh-cn"")"
개관 20주년 된 우리나라 최초 악기박물관,"=GOOGLETRANSLATE(A54, ""ko"", ""zh-cn"")"
케이컬처뮤지엄,"=GOOGLETRANSLATE(A55, ""ko"", ""zh-cn"")"
인천 중구 공항로 271,"=GOOGLETRANSLATE(A56, ""ko"", ""zh-cn"")"
인천공항에서 즐기는 무료 전시,"=GOOGLETRANSLATE(A57, ""ko"", ""zh-cn"")"
YDP곤충체험학습관,"=GOOGLETRANSLATE(A58, ""ko"", ""zh-cn"")"
서울 영등포구 선유동1로 80 영등포구 별관청사 ydp곤충체험학습관,"=GOOGLETRANSLATE(A59, ""ko"", ""zh-cn"")"
곤충을 직접 만져볼 수 있는 곤충박물관,"=GOOGLETRANSLATE(A60, ""ko"", ""zh-cn"")"
엄마아빠어렸을적에,"=GOOGLETRANSLATE(A61, ""ko"", ""zh-cn"")"
대구 군위군 산성면 산성가음로 722,"=GOOGLETRANSLATE(A62, ""ko"", ""zh-cn"")"
엄마아빠와 떠나는 추억 여행⠀,"=GOOGLETRANSLATE(A63, ""ko"", ""zh-cn"")"
수도박물관,"=GOOGLETRANSLATE(A64, ""ko"", ""zh-cn"")"
우리 아이 물박사 만들어주는 곳,"=GOOGLETRANSLATE(A65, ""ko"", ""zh-cn"")"
인천국민안전체험관 리틀인천안전시티,"=GOOGLETRANSLATE(A66, ""ko"", ""zh-cn"")"
소방대원 선생님과 함께하는 안전교육 프로그램,"=GOOGLETRANSLATE(A67, ""ko"", ""zh-cn"")"
바니베어뮤지엄,"=GOOGLETRANSLATE(A68, ""ko"", ""zh-cn"")"
경상북도 경주시 보문로 280-34,"=GOOGLETRANSLATE(A69, ""ko"", ""zh-cn"")"
실바니안과 테디베어가 만든 뮤지엄,"=GOOGLETRANSLATE(A70, ""ko"", ""zh-cn"")"
순창발효테마파크,"=GOOGLETRANSLATE(A71, ""ko"", ""zh-cn"")"
전북특별자치도 순창군 순창읍 장류로 55,"=GOOGLETRANSLATE(A72, ""ko"", ""zh-cn"")"
체험을 통해 알아보는 발효 문화의 가치,"=GOOGLETRANSLATE(A73, ""ko"", ""zh-cn"")"
무주반디랜드,"=GOOGLETRANSLATE(A74, ""ko"", ""zh-cn"")"
곤충박물관과 천문과학관이 있는 곳,"=GOOGLETRANSLATE(A75, ""ko"", ""zh-cn"")"
메디테리움 의학박물관,"=GOOGLETRANSLATE(A76, ""ko"", ""zh-cn"")"
병원 가기 싫어하는 아이와 병원 놀이하기,"=GOOGLETRANSLATE(A77, ""ko"", ""zh-cn"")"
보령목재문화체험장,"=GOOGLETRANSLATE(A78, ""ko"", ""zh-cn"")"
충남 보령시 성주면 성주산로 318-57,"=GOOGLETRANSLATE(A79, ""ko"", ""zh-cn"")"
수목원을 거닐고 목공체험도 하며 느끼는 나무의 소중함,"=GOOGLETRANSLATE(A80, ""ko"", ""zh-cn"")"
테디베어뮤지엄 군산,"=GOOGLETRANSLATE(A81, ""ko"", ""zh-cn"")"
테디베어와 함께 세계여행! 포토존 가득한 테디베어뮤지엄,"=GOOGLETRANSLATE(A82, ""ko"", ""zh-cn"")"
추억의 청춘뮤지엄,"=GOOGLETRANSLATE(A83, ""ko"", ""zh-cn"")"
경기 양평군 용문면 용문산로 620 단독건물,"=GOOGLETRANSLATE(A84, ""ko"", ""zh-cn"")"
세대 불문 모두가 빠져드는 레트로 박물관,"=GOOGLETRANSLATE(A85, ""ko"", ""zh-cn"")"
