Original,TranslationFormula
"［9,900원］ 가족뮤지컬 아기돼지 삼형제 - 서울 구로","［9,900ウォン］家族ミュージカル赤ちゃん豚三兄弟 - ソウル九老"
구로구민회관 대강당,黒区民会館大講堂
서울 구로구 가마산로25길 21,ソウル区区区釜山路25ギル21
"2026년 3월 21일(토) 11시, 14시, 16시",2026年3月21日（土）11時、14時、16時
［구로］ 싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,［黒］シンガーロングコンサートミュージカル「Live Show」〈虹の魚〉
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 30일(토) 12시, 14시, 16시",前売可能時間：前日17時（月～土観覧時）まで／前日11時（日曜日観覧時）まで2026年5月30日（土）12時、14時、16時
［서울］ 가족뮤지컬 〈로보카폴리 - 브룸스타운의 에너지를 지켜라!〉,［ソウル］ファミリーミュージカル〈ロボカポリ - ブルームスタウンのエネルギーを守ろう！〉
나루아트센터 대공연장,ナルアートセンター大公演場
서울 광진구 능동로 76,ソウル広津区能洞路76
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) ~ 5월 10일(일) 11시, 2시, 4시30분",前売可能時間：前日17時（月～土観覧時）まで／前日11時（日曜日観覧時）まで2026年5月9日（土）～5月10日（日）11時、2時、4時30分
［해피 마포 와글와글］ 뮤지컬 〈푸른 사자 와니니〉,［ハッピー麻浦ワグワグル］ミュージカル〈青ライオンワニーニ〉
마포아트센터 아트홀 맥,マポアートセンターアートホールマック
서울 마포구 대흥로20길 28,ソウル麻浦区大興路20ギル28
"예매가능시간: 관람 2시간 전까지수목금 19시30분 / 토일 14시, 18시
* 월, 화 공연없음, 5/6(수) 공연없음
* 단, 5/1(금), 5/5(화) 14시, 18시","前売可能時間：観覧の2時間前までの水木金19時30分/土日14時、18時
*月、火公演なし、5/6（水）公演なし
* ただし、5/1(金)、5/5(火)14時、18時"
［NOL 단독］뮤지컬 데스노트(The Musical Death Note),［NOL単独］ミュージカルデスノート（The Musical Death Note）
디큐브 링크아트센터,デキューブリンクアートセンター
서울 구로구 경인로 662,ソウル区区区京仁路662
예매가능시간: 관람 3시간 전까지3.13(금) 19:30 / 3.19(목) 19:30 / 3.25(수) 14:004.5(일) 14:00 / 4.7(화) 19:00 / 4.11(토) 14:00,前売可能時間：観覧3時間前まで3.13(金) 19:30 / 3.19(木) 19:30 / 3.25(水) 14:004.5(日) 14:00 / 4.7(火) 19:00 / 4.11(土) 14:00
［Play＆Stay］뮤지컬 데스노트+ Hotel,［Play＆Stay］ミュージカルデスノート+ Hotel
"[중요 공지 안내]- 티켓수령: 호텔 내 Play&Stay 티켓데스크(9AM~12PM)- 본 상품의 티켓은 구매자 본인 관람이 필수이며 양도, 대리 수령 절대 불가능합니다.- 호텔 투숙은 구매자 본인이 체크인 하셔야만 이용 가능하시며 미성년자의 경우 법적 보호자와 함께 투숙 가능하십니다.",[重要なお知らせ] - チケット受領：ホテル内Play&Stayチケットデスク（9AM～12PM）- 本商品のチケットは購入者本人観覧が必須であり、譲渡、代理受領絶対不可能です。
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),〈千と千尋の行方不明〉オリジナルツアー（SPIRITED AWAY）
예술의전당 오페라극장,芸術の殿堂オペラ劇場
서울 서초구 남부순환로 2406,ソウル瑞草区南部循環路2406
"예매가능시간: 관람 1시간 전까지화, 목, 19시 30분 / 수, 금, 토 14시, 19시 30분 / 일 14시 (월 공연 없음) ※ 극장, 공연 제작사 및 관계사의 협의에 따라 일부 좌석이 마감되었습니다.",前売り可能時間：観覧1時間前まで火、木、19時30分/水、金、土14時、19時30分/日14時（月公演無し）
2026 가족 라이브 뮤지컬 〈피터팬〉 (서울양천),2026家族ライブミュージカル〈ピーターファン〉（ソウルヤンチョン）
양천문화회관 대극장,陽川文化会館大劇場
서울 양천구 목동서로 367,ソウル楊川区木洞西路367
예매가능시간: 관람 2시간 전까지2026년 4월 4일(토) ~ 4월 5일(일) 11시/ 14시/ 16시,前売可能時間：観覧の2時間前まで2026年4月4日(土)～4月5日(日)11時/14時/16時
2026 가족 뮤지컬 〈오즈의 마법사〉 - 서울양천,2026家族ミュージカル〈オズの魔法使い〉 - ソウル陽川
예매가능시간: 관람 2시간 전까지2026년 4월 11일(토) ~ 4월 12일(일) 11시/ 14시/ 16시,前売可能時間：観覧2時間前まで2026年4月11日(土)～4月12日(日)11時/14時/16時
2026 앤서니브라운 가족뮤지컬 〈우리아빠가최고야〉 - 서울(관악),2026アンソニーブラウンファミリーミュージカル〈ウリアパガ最高高野〉 - ソウル（冠岳）
관악아트홀,冠岳アートホール
서울 관악구 대학동 녹두거리,ソウル冠岳区大学洞緑豆通り
예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) ~ 5월 10일(일) 11시 14시 16시,前売可能時間：前日17時（月～土観覧時）まで／前日11時（日曜日観覧時）まで2026年5月9日（土）～5月10日（日）11時14時16時
가족뮤지컬 〈꼬마버스 타요 - 소원을 들어주는 요술 지팡이 대소동〉 - 강동,ファミリーミュージカル〈子供バスタヨ - 願いを聞く魔術杖大騒動〉 - カンドン
강동아트센터 대극장 한강,江東アートセンター大劇場漢江
서울 강동구 동남로 870,ソウル江東区東南路870
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 4월 18일(토) 11시, 14시, 16시 30분
2026년 4월 19일(일) 11시, 14시","前売可能時間：前日17時（月～土観覧時）まで／前日11時（日曜日観覧時）まで2026年4月18日（土）11時、14時、16時30分
2026年4月19日（日）11時、14時"
가족뮤지컬 〈나의 비밀친구 해치〉 - 서울,家族ミュージカル〈私の秘密の友達ハッチ〉 - ソウル
KT&G 상상마당 대치아트홀,KT&G想像庭園大治アートホール
서울특별시 강남구 영동대로 416 (대치동),ソウル特別市江南区永東大路416（大知洞）
