Original,TranslationFormula
"［9,900원］ 가족뮤지컬 아기돼지 삼형제 - 서울 구로","[9,900韩元] 家庭音乐剧《三只小猪》- 首尔九老区"
구로구민회관 대강당,九老区社区中心大礼堂
서울 구로구 가마산로25길 21,首尔市九老区伽马山路25街21
"2026년 3월 21일(토) 11시, 14시, 16시",2026年3月21日（星期六）11:00、14:00、16:00
［구로］ 싱어롱 콘서트 뮤지컬 ‘Live Show’ 〈무지개 물고기〉,【Guro】卡拉OK音乐会“现场演出”<彩虹鱼>
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 30일(토) 12시, 14시, 16시",预约截止时间为：周一至周六参观截止时间为前一天下午 17:00，周日参观截止时间为前一天上午 11:00。2026 年 5 月 30 日（周六）12:00、14:00、16:00
［서울］ 가족뮤지컬 〈로보카폴리 - 브룸스타운의 에너지를 지켜라!〉,【首尔】家庭音乐剧《变形警车波利 - 守护布鲁姆斯镇的能源！》
나루아트센터 대공연장,奈留艺术中心大演出厅
서울 광진구 능동로 76,首尔特别市广津区灵洞路 76
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) ~ 5월 10일(일) 11시, 2시, 4시30분",预约截止时间为前一天下午 5:00（周一至周六）/ 前一天上午 11:00（周日）。2026 年 5 月 9 日（周六）至 2026 年 5 月 10 日（周日）上午 11:00、下午 2:00、下午 4:30
［해피 마포 와글와글］ 뮤지컬 〈푸른 사자 와니니〉,[快乐马波摇摆] 音乐剧《蓝狮瓦尼尼》
마포아트센터 아트홀 맥,马波艺术中心艺术馆 Mac
서울 마포구 대흥로20길 28,首尔特别市麻浦区大兴路20街28
"예매가능시간: 관람 2시간 전까지수목금 19시30분 / 토일 14시, 18시
* 월, 화 공연없음, 5/6(수) 공연없음
* 단, 5/1(금), 5/5(화) 14시, 18시","演出前两小时仍可预订：周三、周四、周五 晚上7:30 / 周六、周日 下午2:00、晚上6:00

* 周一、周二及5月6日（周三）无演出

* 但5月1日（周五）和5月5日（周二）下午2:00和晚上6:00有演出"
［NOL 단독］뮤지컬 데스노트(The Musical Death Note),【NOL独家】音乐剧《死亡笔记》
디큐브 링크아트센터,D-Cube Link 艺术中心
서울 구로구 경인로 662,首尔特别市九老区京仁路 662
예매가능시간: 관람 3시간 전까지3.13(금) 19:30 / 3.19(목) 19:30 / 3.25(수) 14:004.5(일) 14:00 / 4.7(화) 19:00 / 4.11(토) 14:00,"预约时间：演出开始前3小时

3月13日（周五）19:30 / 3月19日（周四）19:30 / 3月25日（周三）14:00

4月5日（周日）14:00 / 4月7日（周二）19:00 / 4月11日（周六）14:00"
［Play＆Stay］뮤지컬 데스노트+ Hotel,【玩乐住宿】死亡笔记音乐剧+酒店
"[중요 공지 안내]- 티켓수령: 호텔 내 Play&Stay 티켓데스크(9AM~12PM)- 본 상품의 티켓은 구매자 본인 관람이 필수이며 양도, 대리 수령 절대 불가능합니다.- 호텔 투숙은 구매자 본인이 체크인 하셔야만 이용 가능하시며 미성년자의 경우 법적 보호자와 함께 투숙 가능하십니다.","【重要提示】

- 取票地点：酒店内 Play&Stay 售票处（上午 9 点至中午 12 点）

- 本产品门票必须由购买者本人使用，严禁转让或代领。

- 酒店住宿仅限购买者本人办理入住。未成年人须由法定监护人陪同方可入住。"
〈센과 치히로의 행방불명〉오리지널 투어 (SPIRITED AWAY),千与千寻原版巡回演出（千与千寻）
예술의전당 오페라극장,首尔艺术中心歌剧院
서울 서초구 남부순환로 2406,首尔特别市瑞草区南部循环路2406号
"예매가능시간: 관람 1시간 전까지화, 목, 19시 30분 / 수, 금, 토 14시, 19시 30분 / 일 14시 (월 공연 없음) ※ 극장, 공연 제작사 및 관계사의 협의에 따라 일부 좌석이 마감되었습니다.",演出开始前1小时可预约。周二、周四 晚上7:30 / 周三、周五、周六 下午2:00、晚上7:30 / 周日 下午2:00（周一无演出）※ 由于剧院、制作公司及相关方之间的协议，部分座位已售罄。
2026 가족 라이브 뮤지컬 〈피터팬〉 (서울양천),2026 家庭现场音乐剧《彼得·潘》（首尔阳川）
양천문화회관 대극장,阳川文化中心大剧院
서울 양천구 목동서로 367,首尔特别市阳川区木洞西路 367
예매가능시간: 관람 2시간 전까지2026년 4월 4일(토) ~ 4월 5일(일) 11시/ 14시/ 16시,"预约时间：演出开始前2小时

2026年4月4日（周六）至2026年4月5日（周日） 11:00 / 14:00 / 16:00"
2026 가족 뮤지컬 〈오즈의 마법사〉 - 서울양천,2026年家庭音乐剧《绿野仙踪》 - 首尔阳川
예매가능시간: 관람 2시간 전까지2026년 4월 11일(토) ~ 4월 12일(일) 11시/ 14시/ 16시,"预约时间：演出开始前2小时

2026年4月11日（周六）至2026年4月12日（周日） 11:00 / 14:00 / 16:00"
2026 앤서니브라운 가족뮤지컬 〈우리아빠가최고야〉 - 서울(관악),2026 安东尼·布朗家族音乐剧《我爸爸是最棒的》- 首尔（冠岳）
관악아트홀,冠纳克艺术馆
서울 관악구 대학동 녹두거리,首尔特别市冠岳区大学洞绿头街
예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) ~ 5월 10일(일) 11시 14시 16시,预约时间：周一至周六参观截止前一天17:00 / 周日参观截止前一天11:00 2026年5月9日（周六）至2026年5月10日（周日） 11:00 14:00 16:00
가족뮤지컬 〈꼬마버스 타요 - 소원을 들어주는 요술 지팡이 대소동〉 - 강동,家庭音乐剧《小巴士泰路——许愿魔杖的奇妙冒险》——江东
강동아트센터 대극장 한강,江东艺术中心汉江大剧院
서울 강동구 동남로 870,首尔特别市江东区东南路 870
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 4월 18일(토) 11시, 14시, 16시 30분
2026년 4월 19일(일) 11시, 14시","预约开放时间：周一至周六参观截止前一天17:00 / 周日参观截止前一天11:00 2026年4月18日（周六）11:00、14:00、16:30

2026年4月19日（周日）11:00、14:00"
가족뮤지컬 〈나의 비밀친구 해치〉 - 서울,家庭音乐剧《我的秘密朋友獬豸》- 首尔
KT&G 상상마당 대치아트홀,KT&G 桑桑马当大地艺术馆
서울특별시 강남구 영동대로 416 (대치동),首尔特别市江南区永同大路416（大峙洞）
"예매가능시간: 관람 2시간 전까지목,금 16시 / 주말 및 공휴일 11시, 14시 / 월,화,수 공연없음
* 5월 1일(금), 5월 4일(월) 11시, 14시
* 5월 7일(목), 5월 8일(금) 공연없음","演出前两小时可预约。周四、周五下午 4:00 / 周末及节假日上午 11:00、下午 2:00 / 周一、周二、周三无演出

* 5 月 1 日（周五）、5 月 4 日（周一）上午 11:00、下午 2:00

* 5 月 7 日（周四）、5 月 8 日（周五）无演出"
가족뮤지컬 〈마인블록월드 : 우리가 만드는 세상〉 - 서울,家庭音乐剧《矿山世界：我们创造的世界》- 首尔
소월아트홀,索沃尔艺术馆
서울 성동구 행당1동 행당동 고산자로12길,首尔市城东区行堂洞行堂1洞行堂洞12街
"예매가능시간: 관람 2시간 전까지평일 16시30분 / 주말 및 공휴일 11시, 14시, 16시30분 / 월,화 공연없음
※ 6월 3일(수) 11시, 14시, 16시30분","演出前2小时可预约。平日16:30 / 周末及节假日11:00、14:00、16:30 / 周一、周二无演出

※ 6月3日（周三）11:00、14:00、16:30"
가족뮤지컬 〈뽀로로와 신비한 여행〉 - 서울앵콜,家庭音乐剧《波鲁鲁和神秘之旅》- 首尔安可
용산아트홀 대극장 미르,龙山艺术馆大剧院 Mir
서울 용산구 녹사평대로 150,首尔特别市龙山区绿莎坪大路 150
"예매가능시간: 관람 2시간 전까지2026년 5월 2일(토) ~ 5월 3일(일) 11시 ,14시, 16시 30분 (총6회차)",演出开始前两小时仍可预约。2026年5月2日（周六）至2026年5月3日（周日）11:00、14:00、16:30（共6场）
가족뮤지컬 〈설민석의 한국사 대모험 : 안중근〉 - 서울,家庭音乐剧《薛珉锡的韩国历史奇遇记：安重根》- 首尔
"예매가능시간: 관람 2시간 전까지평일 16시 30분 / 주말 및 공휴일 11시, 14시, 16시30분
* 3/28(토), 3/29(일) 11시, 14시
* 월,화 공연없음","演出开始前两小时可预约：平日下午 4:30 / 周末及节假日 上午 11:00、下午 2:00、下午 4:30

* 3月28日（周六）、3月29日（周日）上午 11:00、下午 2:00

* 周一、周二无演出"
가족뮤지컬 〈에그박사 : 해적 보물섬의 비밀〉 - 서울앵콜,家庭音乐剧《蛋博士：海盗宝藏岛的秘密》- 首尔安可
올림픽공원 우리금융아트홀,奥林匹克公园友利金融艺术馆
서울 송파구 올림픽로 424,首尔特别市松坡区奥林匹克路 424
"예매가능시간: 관람 2시간 전까지수,목,금 16시 30분 / 주말, 공휴일 11시, 14시, 16시 30분
*6월 3일(수) 14시, 16시 30분","演出开始前两小时仍可预订。周三、周四、周五 16:30 / 周末、节假日 11:00、14:00、16:30

*6月3日（周三）14:00、16:30"
가족뮤지컬 누가 내 머리에 똥 쌌어 - 서울 강북,家庭音乐剧《谁在我头上拉屎了》 - 首尔江北
꿈의숲 아트센터 퍼포먼스홀,梦森林艺术中心表演厅
서울 강북구 월계로 173,首尔市江北区月溪路173号
"2026년 4월 18일(토) 11시, 13시30분, 16시",2026年4月18日（星期六）11:00、13:30、16:00
가족뮤지컬 아기돼지 삼형제 - 서울 강북,家庭音乐剧《三只小猪》- 首尔江北
"2026년 5월 16일(토) 11시, 13시30분, 16시",2026年5月16日（星期六）11:00、13:30、16:00
가족뮤지컬 전설 여우신 - 서울 도봉,家庭音乐剧《狐神传说》- 首尔道峰
도봉구민회관 하모니홀,道峰区社区中心和谐厅
서울 도봉구 도봉로 552,首尔市道峰区道峰路552号
"예매가능시간: 전일17시(월~토 관람 시)까지/전일 11시(일요일 관람 시)까지2026년 5월 9일(토) 11시, 13시30분",预约截止时间为：周一至周六参观，截止时间为参观前一天下午 17:00；周日参观，截止时间为参观前一天上午 11:00。2026 年 5 月 9 日（周六）11:00、13:30
겨울이야기,冬日故事
