name,key,mapped_region_id,district,address,lat,lng
(주)소노호텔앤리조트 천안,소노호텔앤리조트 천안,chungnam,천안시,충남 천안시 동남구 성남면 소노로 1,,
(주)에버랜드,에버랜드,gyeonggi,용인시,경기도 용인시 처인구 포곡읍 에버랜드로 199,,
BL_nk,BL_nk,seoul,강서구,서울 강서구 마곡중앙6로 11,,
CJ 아지트 광흥창,CJ 아지트 광흥창,seoul,마포구,서울 마포구 창전로 14,,
▶만남의 장소 : 국립과천과학관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),국립과천과학관,gyeonggi,과천시,경기도 과천시 상하벌로 110,,
▶만남의 장소 : 국립중앙박물관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),국립중앙박물관,seoul,용산구,서울특별시 용산구 서빙고로 137,,
▶만남의 장소 : 국립중앙박물관 상설전시관  內 1층 으뜸홀(자세한 안내는 수업전 담당 강사님이 안내드립니다.),국립중앙박물관,seoul,용산구,서울특별시 용산구 서빙고로 137,,
▶만남의 장소 : 서대문형무소역사관 입구 앞 (자세한 안내는 수업전 담당 강사님이 안내드립니다.),서대문형무소역사관,seoul,서대문구,서울 서대문구 통일로 251,,
▶만남의 장소 : 수원화성박물관 內 로비(자세한 안내는 수업전 담당 강사님이 안내드립니다.),수원화성박물관,gyeonggi,수원시,경기도 수원시 팔달구 창룡대로 21,,
"★오전과 오후 만나는 장소가 다르니 반드시 안내사항을 확인하시기 바랍니다.★

오전(09~12시):석굴암(일주문 옆 세계유산 표지석)
오후(13~16시):불국사 정문(세계유산 표지석)",석굴암,,경주시,경상북도 경주시 석굴로 238,,
㈜볼베어파크 천안점,볼베어파크 천안점,chungnam,천안시,충남 천안시 동남구 옛시청길 29,,
감리교신학대학교 내 웨슬리채플관,감리교신학대학교,seoul,서대문구,서울특별시 서대문구 독립문로 56,,
강릉아트센터 사임당홀,강릉아트센터,gangwon,강릉시,강원특별자치도 강릉시 종합운동장길 84,,
강원 강릉시 난설헌로 131,강원 강릉시 난설헌로 131,gangwon,강릉시,강원 강릉시 난설헌로 131,,
강원 영월군 주천면 송학주천로 1467-9 영월 젊은달와이파크,영월 젊은달와이파크,gangwon,영월군,강원 영월군 주천면 송학주천로 1467-9,,
강원도 속초시 신흥2길 16,강원도 속초시 신흥2길 16,gangwon,속초시,강원도 속초시 신흥2길 16,,
강원도 속초시 학사평2길 16,강원도 속초시 학사평2길 16,gangwon,속초시,강원도 속초시 학사평2길 16,,
강원도 춘천시 서면 덕두원리 251-4 살롱드노마드 춘천,살롱드노마드 춘천,gangwon,춘천시,강원도 춘천시 서면 덕두원리 251-4,,
강원도 홍천군 홍천읍 생명과학관길 78,강원도 홍천군 홍천읍 생명과학관길 78,gangwon,홍천군,강원도 홍천군 홍천읍 생명과학관길 78,,
강원특별자치도 고성군 현내면 화진포길 412 화진포해양박물관,화진포해양박물관,gangwon,고성군,강원특별자치도 고성군 현내면 화진포길 412,,
강원특별자치도 속초시 원암학사평길 88,강원특별자치도 속초시 원암학사평길 88,gangwon,속초시,강원특별자치도 속초시 원암학사평길 88,,
강원특별자치도 영월군,강원특별자치도 영월군,gangwon,영월군,강원특별자치도 영월군,,
"강원특별자치도 원주시 능라동길 51, 206,207호 오늘을 그리다",오늘을 그리다,gangwon,원주시,강원특별자치도 원주시 능라동길 51,,
