Venue Name,Status,Address,Latitude,Longitude,Usage Count,Genres,Examples
"모카클래스",OK,"서울",37.5668260046608,126.978652258309,1192,"class","[샾로맨티시스트]타로카드 원데이 기초부터 실전까지(서울일정); [샾로맨티시스트]타로카드 원데이 기초부터 실전까지 (부산출장); 페이퍼플라워  클래스"
"잠실종합운동장잠실야구장",MISSING_ENTRY,"",,,135,"baseball","KT vs LG; KT vs LG; KIA vs LG"
"금호아트홀 연세",OK,"금호아트홀 연세, 50, 연세로, 신촌동, 서대문구, 서울특별시, 03722, 대한민국",37.5629215,126.9368224,86,"classic","2026 금호아트홀 상주음악가 바리톤 김태한, 페르소나 II. 관계; 2026 금호아트홀 상주음악가 바리톤 김태한, 페르소나 III. 사랑; 2026 금호아트홀 상주음악가 바리톤 김태한, 페르소나 IV. 고독"
"솜씨당 클래스",OK,"서울",37.5668260046608,126.978652258309,83,"class","[건대] 원데이 댄스 배우기/K-POP&스트릿댄스 춤 맛집!!!; [대구/핫플/동성로] 조향사와 함께 섬유 향수/룸스프레이 만들기; [영등포] 녹음하면서 배우자! 쉽고 편하게 배우는 보컬레슨!"
"대구삼성라이온즈파크",MISSING_ENTRY,"",,,69,"baseball","롯데 vs 삼성; 롯데 vs 삼성; 두산 vs 삼성"
"창원NC파크",MISSING_ENTRY,"",,,69,"baseball","두산 vs NC; 두산 vs NC; 롯데 vs NC"
"광주기아챔피언스필드",MISSING_ENTRY,"",,,69,"baseball","NC vs KIA; NC vs KIA; NC vs KIA"
"고척스카이돔",OK,"고척스카이돔, 430, 경인로, 고척동, 고척1동, 구로구, 서울특별시, 08275, 대한민국",37.4981936,126.8670731,69,"baseball","LG vs 키움; LG vs 키움; LG vs 키움"
"인천SSG 랜더스필드",MISSING_ENTRY,"",,,66,"baseball","KIA vs SSG; KIA vs SSG; 키움 vs SSG"
"한화생명이글스파크",MISSING_ENTRY,"",,,66,"baseball","키움 vs 한화; 키움 vs 한화; KT vs 한화"
"부산사직종합운동장사직야구장",MISSING_ENTRY,"",,,66,"baseball","SSG vs 롯데; SSG vs 롯데; SSG vs 롯데"
"수원KT위즈파크",MISSING_ENTRY,"",,,66,"baseball","삼성 vs KT; 삼성 vs KT; 삼성 vs KT"
"예술의전당 콘서트홀",OK,"서울 서초구 서초동 700",37.47931116650964,127.01174677144716,61,"concert|classic","더 필하모닉 브라스 첫 내한공연; 2026 서울시향 김선욱과 알리스 사라 오트 ②; 2026 서울시향 니콜라이 루간스키의 쇼팽 피아노 협주곡 1번 ①"
"롯데콘서트홀",OK,"롯데콘서트홀, 올림픽로, 신천동, 잠실6동, 송파구, 서울특별시, 05551, 대한민국",37.5135349,127.1036896,55,"classic|etc|unknown","〈날씨의 아이〉 필름 콘서트; 2026 롯콘 마티네 〈대니 구의 플레이리스트〉; 2026 봄날음악회"
"세종문화회관",MISSING_ENTRY,"",,,45,"classic|unknown|concert|musical|exhibition|theater","앙상블 버라이어티 신년음악회 [All That Waltz]; 비앙상블 정기연주회; 조유리 바이올린 독주회 - 모차르트 소나타 전곡 시리즈 IV"
"예술의전당 IBK기업은행챔버홀",OK,"서울 서초구 남부순환로 2406 예술의전당",37.4837,127.0324,44,"classic","2026 리스트 국제 피아노 콩쿠르 위너 인 서울; 2026 서울 윈터 뮤직 페스티벌 : Warm Air (0130); 2026년 플루트 인포메이션 4번째 프로젝트 크리스티나 파스벤더 ＆ 안네 카테리네 하인츠만 듀오 리사이틀"
"예술의전당 리사이틀홀",OK,"서울 서초구 서초동 산 130-6",37.4792319150666,127.011364621935,40,"classic","건우회 제14회 정기연주회; 김나영 비올라 독주회; 김서진 귀국 바이올린 독주회"
"경희대 선승관",MISSING_ENTRY,"",,,40,"basketball","상무 vs KT; DB vs 정관장; 한국가스공사 vs KCC"
"청주 SK호크스아레나",MISSING_ENTRY,"",,,40,"handball","SK호크스 vs 상무 피닉스; 두산 vs 충남도청; 인천도시공사 vs 하남시청"
"세종문화회관 체임버홀",OK,"서울 종로구 세종대로 175",37.5720692375751,126.975748352154,39,"classic|etc","〈심포니 오디세이〉 A Journey from Classic to Modern 제4회 Sungshin Piano Ensemble Concert; 2026 서울시향 체임버 클래식스 Ⅰ: 미국; 2026 서울시향 체임버 클래식스 Ⅱ: 슬라브"
"티켓링크 라이브 아레나(핸드볼경기장)",OK,"서울 송파구 올림픽로 424",37.521785,127.11652,37,"handball","두산 vs SK호크스; 하남시청 vs 상무 피닉스; 충남도청 vs 인천도시공사"
"서울장충체육관",MISSING_ENTRY,"",,,36,"volleyball","[배구] 서울Kixx vs 알토스; [배구] 우리WON vs 읏맨; [배구] 우리WON vs 블루팡스"
"수원체육관",MISSING_ENTRY,"",,,36,"volleyball","[배구] VIXTORM vs 우리WON; [배구] 힐스테이트 vs 레드스파크스; [배구] VIXTORM vs 스카이워커스"
"대전충무체육관",MISSING_ENTRY,"",,,36,"volleyball","[배구] 블루팡스 vs 읏맨; [배구] 레드스파크스 vs 서울Kixx; [배구] 블루팡스 vs 스카이워커스"
"국립중앙박물관",OK,"국립중앙박물관, 137, 서빙고로, 용산동5가, 서빙고동, 용산구, 서울특별시, 04388, 대한민국",37.523953,126.9803196,35,"exhibition|activity|kids","국립중앙박물관 그리스 로마 특별전; 국립중앙박물관 이슬람 미술 특별전; 국립중앙박물관1 인문학산책"
"부천아트센터 콘서트홀",OK,"경기 부천시 원미구 소향로 165 부천아트센터",37.5022385225392,126.766514925493,31,"classic","부천시립예술단 1234 콘서트 Ⅰ- 부천필하모닉오케스트라 ‘봄, 그리고 이야기 Spring, and  Stories’; 부천시립예술단 1234 콘서트 Ⅲ - 부천필하모닉오케스트라 ‘가을, 그리고 전설 Autumn, and  Legends’; 부천시립예술단 1234 콘서트 IV - 부천시립합창단 ＇오르간과 합창음악＇"
"삼척 시민체육관",MISSING_ENTRY,"",,,28,"handball","상무 피닉스 vs 인천도시공사; 충남도청 vs SK호크스; 하남시청 vs 두산"
"온라인투어 | 3박 5일",MISSING_ENTRY,"",,,23,"travel","코타키나발루 5일 그랜드인호텔(호핑투어/시내라운지/자유일정); 마나도 5일 왕복 항공권; 코타키나발루 5일 그랜드인호텔(호핑투어/시내라운지/자유일정)"
"대구콘서트하우스 챔버홀",INCOMPLETE_DATA (Both),"정보 없음",,,22,"classic","더 마스터즈：김다솔 피아노 리사이틀 - 대구; 더 마스터즈：김동현 바이올린 리사이틀 - 대구; 더 마스터즈：김민지 첼로 리사이틀 - 대구"
"통영국제음악당 콘서트홀",INCOMPLETE_DATA (Both),"정보 없음",,,21,"classic","2026 통영국제음악제 - 경기필하모닉오케스트라 with 김선욱; 2026 통영국제음악제 - 김유빈 플루트 리사이틀; 2026 통영국제음악제 - 루카스 ＆ 아르투르 유센 듀오 리사이틀"
"공주문예회관 대공연장",OK,"충남 공주시 고마나루길 5",36.4601770026339,127.111721755751,18,"musical|concert|play|classic|etc","가족 뮤지컬 〈알사탕〉 - 공주; 어린이 뮤지컬 〈알라딘과 요술램프〉 - 공주; 라포엠과 함께하는 스페셜 콘서트 - 공주"
"광주페퍼스타디움",MISSING_ENTRY,"",,,18,"volleyball","[배구] PEPPERS vs 하이패스; [배구] PEPPERS vs 힐스테이트; [배구] PEPPERS vs 서울Kixx"
"천안유관순체육관",MISSING_ENTRY,"",,,18,"volleyball","[배구] 스카이워커스 vs 스타즈; [배구] 스카이워커스 vs 읏맨; [배구] 스카이워커스 vs 우리WON"
"인천계양체육관",MISSING_ENTRY,"",,,18,"volleyball","[배구] 점보스 vs VIXTORM; [배구] 점보스 vs 우리WON; [배구] 점보스 vs 블루팡스"
"화성종합실내체육관",MISSING_ENTRY,"",,,18,"volleyball","[배구] 알토스 vs PEPPERS; [배구] 알토스 vs 하이패스; [배구] 알토스 vs 핑크스파이더스"
