Name,Key,Region,District,Address,Latitude,Longitude
"★오전과 오후 만나는 장소가 다르니 반드시 안내사항을 확인하시기 바랍니다.★

오전(09~12시):석굴암(일주문 옆 세계유산 표지석)
오후(13~16시):불국사 정문(세계유산 표지석)","★오전과 오후 만나는 장소가 다르니 반드시 안내사항을 확인하시기 바랍니다.★

오전(09~12시):석굴암(일주문 옆 세계유산 표지석)
오후(13~16시):불국사 정문(세계유산 표지석)","","반드시","★오전과 오후 만나는 장소가 다르니 반드시 안내사항을 확인하시기 바랍니다.★

오전(09~12시):석굴암(일주문 옆 세계유산 표지석)
오후(13~16시):불국사 정문(세계유산 표지석)",,
"23 NAIL","23 NAIL","seoul","마포구","서울 마포구 월드컵로19길 42 1층(오른쪽)",37.5556876,126.9076401
"3D과학체험관","3D과학체험관","gyeongnam","양산시","경남 양산시 웅상대로 1009-1",35.3898652,129.1557274
"527동 건물입니다.","527동 건물입니다.","seoul","송파구","서울 송파구 송파대로 567 (잠실동, 잠실주공아파트) 527동 건물입니다.",37.5145,127.1066
"63스퀘어","63스퀘어","seoul","영등포구","서울 영등포구 63로 50 한화금융센터_63",37.5198158,126.9403138
"가나아트센터","가나아트센터","seoul","종로구","서울 종로구 평창30길 28",37.6122897,126.9751697
"가디언하우스 작은목공방","가디언하우스 작은목공방","gyeonggi","성남시","경기 성남시 중원구 성남대로1147번길 15-11 1층",37.4316366,127.1270629
"가림빌딩","가림빌딩","seoul","강남구","서울 강남구 선릉로94길 3 (삼성동) 가림빌딩 3층",37.5172,127.0473
"가빈아트홀","가빈아트홀","seoul","강남구","서울 강남구 삼성로 534",37.5096842548818,127.055534174725
"가산 아쿠아밸리","가산 아쿠아밸리","seoul","금천구","서울 금천구 디지털로 178",37.4764396758109,126.887331423733
"가온 휘트니스 대화마을점","가온 휘트니스 대화마을점","gyeonggi","고양시","경기 고양시 일산서구 송포로 35 2층 202호",37.6696019,126.7324163
"가온아트홀","가온아트홀","busan","동구","부산 동구 자성로133번길 10 천일고속빌딩 지하1층",35.1380834,129.0649569
"가운데 매장","가운데 매장","seoul","마포구","서울 마포구 포은로8길 11 (망원동) 가운데 매장",37.5665,126.9018
"가천이길여산부인과기념관","가천이길여산부인과기념관","incheon","중구","인천 중구 우현로90번길 19-4",37.4738744,126.6311804
"가파도 정기여객선","가파도 정기여객선","jeju","서귀포시","제주 서귀포시 대정읍 최남단해안로 120",33.2100651,126.2583796
"가평 쁘띠프랑스","가평 쁘띠프랑스","gyeonggi","가평군","경기 가평군 청평면 호반로 1063",37.7150277522095,127.490720315781
"가평군생태탐방학습원","가평군생태탐방학습원","gyeonggi","가평군","경기 가평군 북면 가화로 2089-42 명지산 생태전시관",37.9360563,127.4876873
"가평탑랜드","가평탑랜드","gyeonggi","가평군","경기 가평군 가평읍 북한강변로 1044-15 , 가평탑랜드",37.77422,127.5344221
"가평탑랜드 번지점프","가평탑랜드 번지점프","gyeonggi","가평군","경기 가평군 가평읍 북한강변로 1044",37.80604150542156,127.52602892065775
"가회민화박물관","가회민화박물관","seoul","종로구","서울 종로구 북촌로 52 (가회동) B1 가회민화박물관",37.573,126.9794
"각 궁궐의 정문 앞","각 궁궐의 정문 앞","","","각 궁궐의 정문 앞",37.579754,126.9766818
"감정선프로젝트 미술공방","감정선프로젝트 미술공방","seoul","송파구","서울 송파구 백제고분로45길 8 (송파동) 지하1층 감정선프로젝트 미술공방",37.5145,127.1066
"강남구청","강남구청","seoul","강남구","서울 강남구 도산대로54길 18 1층",37.521517,127.0386901
"강남대학교입구","강남대학교입구","gyeonggi","용인시","경기 용인시 기흥구 구갈동",37.2726181,127.1289205
"강남스탠다드정형외과의원","강남스탠다드정형외과의원","seoul","서초구","서울 서초구 사임당로 175 3층 301호",37.4929927,127.0286925
"강남씨어터","강남씨어터","seoul","강남구","서울 강남구 역삼로7길 16",37.49536123749658,127.03323385255213
"강남역지하쇼핑센터 B1 고객안내센터","강남역지하쇼핑센터 B1 고객안내센터","seoul","강남구","서울 강남구 테헤란로 156",37.498222,127.0286134
"강동구민회관 대강당","강동구민회관 대강당","seoul","강동구","서울 강동구 상암로 168",37.5457179498377,127.141104271601
"강동문화복지회관 천생아트홀","강동문화복지회관 천생아트홀","gyeongbuk","구미시","경북 구미시 인동가산로 392",36.0900963,128.4546099
"강동아트센터","강동아트센터","seoul","강동구","서울 강동구 동남로 870 강동아트센터",37.5510795,127.1576349
